River,Year,Fraction,Unit,Value
Maumee,2008,Annual TP Loading,Metric Tons,3560
Maumee,2009,Annual TP Loading,Metric Tons,2160
Maumee,2010,Annual TP Loading,Metric Tons,1530
Maumee,2011,Annual TP Loading,Metric Tons,2780
Maumee,2012,Annual TP Loading,Metric Tons,2230
Maumee,2013,Annual TP Loading,Metric Tons,2130
Maumee,2014,Annual TP Loading,Metric Tons,1960
Maumee,2015,Annual TP Loading,Metric Tons,2200
Maumee,2016,Annual TP Loading,Metric Tons,1240
Maumee,2008,Annual DRP Loading,Metric Tons,835
Maumee,2009,Annual DRP Loading,Metric Tons,346
Maumee,2010,Annual DRP Loading,Metric Tons,404
Maumee,2011,Annual DRP Loading,Metric Tons,570
Maumee,2012,Annual DRP Loading,Metric Tons,614
Maumee,2013,Annual DRP Loading,Metric Tons,468
Maumee,2014,Annual DRP Loading,Metric Tons,577
Maumee,2015,Annual DRP Loading,Metric Tons,752
Maumee,2016,Annual DRP Loading,Metric Tons,253
Maumee,2008,Annual TP FWMC,milligrams / liter,0.444
Maumee,2009,Annual TP FWMC,milligrams / liter,0.426
Maumee,2010,Annual TP FWMC,milligrams / liter,0.329
Maumee,2011,Annual TP FWMC,milligrams / liter,0.446
Maumee,2012,Annual TP FWMC,milligrams / liter,0.374
Maumee,2013,Annual TP FWMC,milligrams / liter,0.423
Maumee,2014,Annual TP FWMC,milligrams / liter,0.335
Maumee,2015,Annual TP FWMC,milligrams / liter,0.331
Maumee,2008,Annual DRP FWMC,milligrams / liter,0.104
Maumee,2009,Annual DRP FWMC,milligrams / liter,0.068
Maumee,2010,Annual DRP FWMC,milligrams / liter,0.087
Maumee,2011,Annual DRP FWMC,milligrams / liter,0.091
Maumee,2012,Annual DRP FWMC,milligrams / liter,0.103
Maumee,2013,Annual DRP FWMC,milligrams / liter,0.093
Maumee,2014,Annual DRP FWMC,milligrams / liter,0.099
Maumee,2015,Annual DRP FWMC,milligrams / liter,0.113
Maumee,2008,Annual Discharge,million cubic liters,8026
Maumee,2009,Annual Discharge,million cubic liters,5075
Maumee,2010,Annual Discharge,million cubic liters,4648
Maumee,2011,Annual Discharge,million cubic liters,6230
Maumee,2012,Annual Discharge,million cubic liters,5960
Maumee,2013,Annual Discharge,million cubic liters,5030
Maumee,2014,Annual Discharge,million cubic liters,5850
Maumee,2015,Annual Discharge,million cubic liters,6650
Maumee,2016,Annual Discharge,million cubic liters,3970
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Maumee,2008,Spring TP Loads,Metric Tons,
Maumee,2009,Spring TP Loads,Metric Tons,
Maumee,2010,Spring TP Loads,Metric Tons,
Maumee,2011,Spring TP Loads,Metric Tons,
Maumee,2012,Spring TP Loads,Metric Tons,
Maumee,2013,Spring TP Loads,Metric Tons,
Maumee,2014,Spring TP Loads,Metric Tons,
Maumee,2015,Spring TP Loads,Metric Tons,
Maumee,2008,Spring DRP Loads,Metric Tons,
Maumee,2009,Spring DRP Loads,Metric Tons,
Maumee,2010,Spring DRP Loads,Metric Tons,
Maumee,2011,Spring DRP Loads,Metric Tons,
Maumee,2012,Spring DRP Loads,Metric Tons,
Maumee,2013,Spring DRP Loads,Metric Tons,
Maumee,2014,Spring DRP Loads,Metric Tons,
Maumee,2015,Spring DRP Loads,Metric Tons,
Maumee,2008,Spring TP FWMC,milligrams / liter,
Maumee,2009,Spring TP FWMC,milligrams / liter,
Maumee,2010,Spring TP FWMC,milligrams / liter,
Maumee,2011,Spring TP FWMC,milligrams / liter,
Maumee,2012,Spring TP FWMC,milligrams / liter,
Maumee,2013,Spring TP FWMC,milligrams / liter,
Maumee,2014,Spring TP FWMC,milligrams / liter,
Maumee,2015,Spring TP FWMC,milligrams / liter,
Maumee,2008,Spring DRP FWMC,milligrams / liter,
Maumee,2009,Spring DRP FWMC,milligrams / liter,
Maumee,2010,Spring DRP FWMC,milligrams / liter,
Maumee,2011,Spring DRP FWMC,milligrams / liter,
Maumee,2012,Spring DRP FWMC,milligrams / liter,
Maumee,2013,Spring DRP FWMC,milligrams / liter,
Maumee,2014,Spring DRP FWMC,milligrams / liter,
Maumee,2015,Spring DRP FWMC,milligrams / liter,
