Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, ¦Ìmho","Future, NA",Month,,,,,
01/10/1975 00:00,101.00,0.250,28958.0,499.0,0.870,0.105,7.60,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/10/1975 18:00,101.75,0.250,26029.0,579.0,1.050,0.095,8.00,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/11/1975 00:00,102.00,0.250,29693.0,656.0,1.290,0.080,7.60,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/11/1975 06:00,102.25,0.375,30100.0,670.0,1.120,0.085,8.40,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/11/1975 18:00,102.75,0.375,30236.0,632.0,1.080,0.100,8.40,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/12/1975 00:00,103.00,0.250,24890.0,305.0,1.040,0.070,8.20,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/12/1975 06:00,103.25,0.250,28232.0,671.0,1.040,0.075,8.00,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/12/1975 12:00,103.50,0.250,27250.0,252.0,0.910,0.080,8.00,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/12/1975 18:00,103.75,0.250,25903.0,372.0,0.900,0.090,8.00,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/13/1975 00:00,104.00,0.250,17880.0,408.0,0.680,0.320,-9.00,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/13/1975 06:00,104.25,0.375,22913.0,267.0,0.990,0.085,8.50,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/13/1975 18:00,104.75,0.750,19733.0,571.0,0.820,0.085,7.70,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/14/1975 18:00,105.75,1.000,14390.0,241.0,0.650,0.107,8.50,-9.00,20.0,-9.0,-9.00,-9,,1,,,,,
01/15/1975 18:00,106.75,1.000,10715.0,227.0,0.572,0.096,8.50,-9.00,18.0,-9.0,-9.00,-9,,1,,,,,
01/16/1975 18:00,107.75,1.000,8934.0,157.0,0.503,0.100,8.50,-9.00,18.0,-9.0,-9.00,-9,,1,,,,,
01/17/1975 18:00,108.75,1.000,5406.0,90.0,0.382,0.032,8.50,-9.00,20.0,-9.0,-9.00,-9,,1,,,,,
01/18/1975 18:00,109.75,1.000,5406.0,77.0,0.330,0.051,8.00,-9.00,19.0,-9.0,-9.00,-9,,1,,,,,
01/19/1975 18:00,110.75,1.000,4609.0,64.0,0.322,0.103,7.70,-9.00,19.0,-9.0,-9.00,-9,,1,,,,,
01/20/1975 18:00,111.75,1.000,3760.0,50.0,0.278,0.101,7.70,-9.00,24.0,-9.0,-9.00,-9,,1,,,,,
01/21/1975 18:00,112.75,1.000,2753.0,-9.0,0.260,0.165,8.10,-9.00,29.0,-9.0,-9.00,-9,,1,,,,,
01/22/1975 18:00,113.75,1.000,2377.0,-9.0,0.220,0.127,8.00,-9.00,35.0,-9.0,-9.00,-9,,1,,,,,
01/23/1975 18:00,114.75,1.000,1928.0,-9.0,0.200,0.135,7.75,-9.00,35.0,-9.0,-9.00,-9,,1,,,,,
01/24/1975 18:00,115.75,1.000,1878.0,-9.0,0.200,0.160,7.60,-9.00,35.0,-9.0,-9.00,-9,,1,,,,,
01/25/1975 18:00,116.75,1.000,1953.0,-9.0,0.190,0.160,7.50,-9.00,37.0,-9.0,-9.00,-9,,1,,,,,
01/26/1975 18:00,117.75,1.000,2133.0,-9.0,0.190,0.182,7.40,-9.00,46.0,-9.0,-9.00,-9,,1,,,,,
01/27/1975 18:00,118.75,1.000,2348.0,-9.0,0.190,0.170,7.40,-9.00,43.0,-9.0,-9.00,-9,,1,,,,,
01/28/1975 18:00,119.75,1.000,2873.0,17.0,0.250,0.187,6.90,-9.00,36.0,-9.0,-9.00,-9,,1,,,,,
01/29/1975 18:00,120.75,1.000,7563.0,81.0,0.310,0.125,6.20,-9.00,35.0,-9.0,-9.00,-9,,1,,,,,
01/30/1975 18:00,121.75,1.000,15160.0,160.0,0.480,0.123,5.52,-9.00,36.0,-9.0,-9.00,-9,,1,,,,,
01/31/1975 18:00,122.75,1.000,18045.0,473.0,0.800,0.171,5.38,-9.00,29.0,-9.0,-9.00,-9,,1,,,,,
02/01/1975 18:00,123.75,1.000,15940.0,444.0,0.800,0.130,5.62,-9.00,21.0,-9.0,-9.00,-9,,2,,,,,
02/02/1975 18:00,124.75,1.000,12148.0,362.0,0.720,0.105,5.87,-9.00,18.0,-9.0,-9.00,-9,,2,,,,,
02/03/1975 18:00,125.75,1.500,9382.0,208.0,0.670,0.130,6.30,-9.00,17.0,-9.0,-9.00,-9,,2,,,,,
02/05/1975 18:00,127.75,1.500,5731.0,144.0,0.450,0.135,6.65,-9.00,33.0,-9.0,-9.00,-9,,2,,,,,
02/06/1975 18:00,128.75,1.000,4812.0,126.0,0.430,0.120,6.30,-9.00,35.0,-9.0,-9.00,-9,,2,,,,,
02/07/1975 18:00,129.75,1.000,3995.0,136.0,0.440,0.095,6.55,-9.00,36.0,-9.0,-9.00,-9,,2,,,,,
02/08/1975 18:00,130.75,1.000,3124.0,70.0,0.378,0.125,6.50,-9.00,38.0,-9.0,-9.00,-9,,2,,,,,
02/09/1975 18:00,131.75,1.000,2903.0,58.0,0.330,0.120,5.95,-9.00,36.0,-9.0,-9.00,-9,,2,,,,,
02/10/1975 18:00,132.75,1.000,2813.0,50.0,0.310,0.115,6.20,-9.00,40.5,-9.0,-9.00,-9,,2,,,,,
02/11/1975 18:00,133.75,1.000,1709.0,39.0,0.160,0.100,4.60,-9.00,39.0,-9.0,-9.00,-9,,2,,,,,
02/12/1975 18:00,134.75,1.000,1928.0,33.0,0.200,0.140,6.40,-9.00,46.0,-9.0,-9.00,-9,,2,,,,,
02/13/1975 18:00,135.75,1.000,2080.0,36.0,0.190,0.140,6.40,-9.00,50.0,-9.0,-9.00,-9,,2,,,,,
