Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, ??mho","Future, NA",Month
1/1/2000 20:00,9223.83,1,759.7,7.7,0.084,0.022,3.46,0.92,94.1,136.1,3.49,961,,1
1/2/2000 12:00,9224.5,0.667,730.6,6.3,0.092,0.024,3.57,0.97,96.6,137.9,3.92,965,,1
1/3/2000 04:00,9225.17,0.5,633.3,8.4,0.094,0.025,3.45,0.97,92.9,133,3.58,956,,1
1/3/2000 12:00,9225.5,0.667,730.6,5.9,0.097,0.024,3.77,0.99,105.4,145.4,4.07,957,,1
1/4/2000 12:00,9226.5,1,912.7,10.6,0.111,0.019,3.32,1.31,94.1,131.3,3.75,910,,1
1/5/2000 12:00,9227.5,1,1098.6,10.4,0.122,0.016,4.22,1.17,91.5,129.8,4.42,907,,1
1/6/2000 12:00,9228.5,1,1116.2,9.9,0.105,0.047,4.06,1.04,93.8,143.4,4.83,935,,1
1/7/2000 12:00,9229.5,1,2375.2,15.2,0.125,0.048,6.32,1.18,77.3,113.6,5.73,843,,1
1/8/2000 12:00,9230.5,1,1507.3,9.3,0.116,0.051,5.87,1.22,75.7,107.7,6.02,823,,1
1/9/2000 12:00,9231.5,0.833,1614.8,7.2,0.111,0.052,6.03,1.02,73.2,107.4,6.21,832,,1
1/10/2000 04:00,9232.17,0.5,1341.8,5.9,0.105,0.051,6.37,0.87,79,113,6.05,849,,1
1/10/2000 12:00,9232.5,0.667,1361,16.2,0.227,0.049,6.73,0.79,77.3,114.5,5.54,847,,1
1/11/2000 12:00,9233.5,1,1842.2,16.4,0.061,0.051,6.42,0.94,76.8,116.8,5.35,843,,1
1/12/2000 12:00,9234.5,1,759.7,8.6,0.056,0.046,5.72,1,79.2,118.9,5.57,856,,1
1/13/2000 12:00,9235.5,1,896.6,9.9,0.053,0.041,5,0.99,78.8,115.5,5.43,855,,1
1/14/2000 12:00,9236.5,1,745.1,8.3,0.058,0.044,5.06,0.98,79.9,115.8,5.59,855,,1
1/15/2000 12:00,9237.5,1,730.6,9.9,0.063,0.043,5.49,1,79.1,118.8,5.56,870,,1
1/16/2000 12:00,9238.5,0.833,832.3,7,0.063,0.039,5.71,0.86,80.2,126.2,5.23,872,,1
1/17/2000 04:00,9239.17,0.5,864.4,6.1,0.064,0.039,5.85,0.89,81.9,130.5,5.22,887,,1
1/17/2000 12:00,9239.5,0.667,1045.8,6.5,0.109,0.035,5.78,0.99,84,133.8,5.47,891,,1
1/18/2000 12:00,9240.5,1,635.7,7.1,0.112,0.036,5.92,1.07,87.3,140.1,5.2,914,,1
1/19/2000 12:00,9241.5,1,716.1,5.7,0.106,0.033,5.91,1.07,87.7,141,5.29,914,,1
1/20/2000 12:00,9242.5,1,652.8,6.1,0.11,0.035,6.09,1.07,90,148.1,5.05,932,,1
1/21/2000 12:00,9243.5,1,618.6,5,0.11,0.034,6.15,1.05,91.8,152.9,5.19,948,,1
1/22/2000 12:00,9244.5,1,2010.9,6.7,0.108,0.03,5.88,1.09,88.4,149.7,4.56,946,,1
1/23/2000 12:00,9245.5,0.833,2771.4,5.4,0.106,0.031,6.1,0.97,91.6,156.1,5,949,,1
1/24/2000 04:00,9246.17,0.5,1890.4,5,0.102,0.031,6.2,1.04,92.3,156.9,5.07,967,,1
1/24/2000 12:00,9246.5,0.667,3357.7,5.8,0.093,0.03,8.05,1.15,119.2,263.2,5.36,960,,1
1/25/2000 12:00,9247.5,1,2951.7,3.8,0.093,0.036,8.38,1.15,124.4,271.6,5.21,965,,1
1/26/2000 12:00,9248.5,1,2484.8,6.3,0.09,0.037,8.65,1.16,124.9,268.2,5.21,974,,1
1/27/2000 12:00,9249.5,1,2402.6,5.1,0.091,0.039,8.8,1.25,126.5,265.9,5.08,973,,1
1/28/2000 12:00,9250.5,1,2512.2,4.4,0.098,0.048,8.72,1.23,130.6,251.4,5.21,960,,1
1/29/2000 12:00,9251.5,1,1592.4,5.6,0.108,0.053,8.8,1.25,131.7,234.9,5.38,956,,1
1/30/2000 12:00,9252.5,0.833,1444.6,4.6,0.109,0.055,8.77,1.08,130.7,230,5.26,941,,1
1/31/2000 04:00,9253.17,0.5,1207.4,5.8,0.109,0.058,8.53,1.27,128.7,225.2,4.93,946,,1
1/31/2000 12:00,9253.5,0.667,1284.2,2.1,0.111,0.055,6.49,1.3,94.8,135.4,5.55,945,,1
2/1/2000 12:00,9254.5,1,1245.8,5.4,0.113,0.059,6.42,1.01,94,135,5.26,935,,2
2/2/2000 12:00,9255.5,1,1207.4,6.7,0.109,0.057,6.22,0.94,90.3,131.4,4.61,929,,2
2/3/2000 12:00,9256.5,1,1098.6,4.9,0.109,0.059,6.19,1.03,89.7,131.6,4.69,915,,2
2/4/2000 12:00,9257.5,1,1133.8,3.9,0.11,0.056,5.94,1.08,88.2,130.1,4.41,917,,2
2/5/2000 12:00,9258.5,1,1423.7,5,0.107,0.055,5.84,1.05,84.9,129.9,4.48,919,,2
2/6/2000 12:00,9259.5,0.833,2402.6,4.2,0.106,0.056,5.68,1.09,87.2,130.8,4.18,917,,2
2/7/2000 04:00,9260.17,0.5,1614.8,5.1,0.101,0.05,5.34,0.97,92.4,133,3.94,922,,2
2/7/2000 12:00,9260.5,0.667,1507.3,3.7,0.118,0.039,-9,1.03,-9,-9,4.47,931,,2
2/8/2000 12:00,9261.5,1,1614.8,4.8,0.117,0.039,-9,0.96,-9,-9,4.19,941,,2
2/9/2000 12:00,9262.5,1,1818.1,4.7,0.12,0.029,-9,1.15,-9,-9,3.84,945,,2
2/10/2000 12:00,9263.5,1,1486.4,4,0.121,0.021,-9,1.16,-9,-9,3.3,961,,2
2/11/2000 12:00,9264.5,1,1507.3,6.8,0.116,0.019,-9,1.09,-9,-9,3.27,969,,2
2/12/2000 12:00,9265.5,1,1151.4,5.3,0.127,0.037,-9,1.01,-9,-9,3.44,967,,2
2/13/2000 12:00,9266.5,1,1614.8,5.3,0.123,0.042,-9,0.98,-9,-9,4.5,998,,2
2/14/2000 12:00,9267.5,0.667,3692.8,8.7,0.129,0.041,-9,1.1,-9,-9,4.44,994,,2
2/14/2000 20:00,9267.83,0.667,3750.1,12.4,0.12,0.042,6.83,1.23,97.4,118.5,4.91,963,,2
2/15/2000 20:00,9268.83,1,2138.2,10.6,0.11,0.045,6.38,1.15,107.2,121,4.04,1022,,2
2/16/2000 20:00,9269.83,1,2293,7,0.096,0.035,6.18,1.02,103.5,129.7,4.04,1024,,2
2/17/2000 20:00,9270.83,1,2320.4,11.7,0.108,0.028,5.92,0.97,115.1,144.2,3.57,1078,,2
2/18/2000 20:00,9271.83,1,2215.6,17,0.131,0.054,6.24,1.22,135,178.5,4.18,1194,,2
2/19/2000 20:00,9272.83,1,2800.6,15.7,0.143,0.064,7.85,1.28,116.7,122,5.33,-9,,2
2/20/2000 20:00,9273.83,0.667,4563.6,15.1,0.139,0.063,8.28,1.14,111,101.9,5.26,940,,2
2/21/2000 04:00,9274.17,0.333,5113,14.2,0.128,0.061,8.2,1.09,114.5,99.1,5.6,951,,2
2/21/2000 12:00,9274.5,0.667,5381.3,18.5,0.142,0.046,8.36,1.31,119.7,102.4,5.23,963,,2
2/22/2000 12:00,9275.5,0.833,4532.4,13,0.13,0.056,8.89,1.18,101.9,98.8,5.53,900,,2
2/23/2000 04:00,9276.17,0.5,7200,141.2,0.275,0.053,10,1.6,59.4,79.4,6.25,723,,2
2/23/2000 12:00,9276.5,0.333,9258.1,181.1,0.319,0.049,10.61,1.83,46.7,63.4,6.23,651,,2
2/23/2000 20:00,9276.83,0.333,11458,302.9,0.439,0.048,10.94,2,36.8,51.8,6.38,571,,2
2/24/2000 04:00,9277.17,0.333,13452,205.9,0.409,0.054,11.45,2.15,37.3,48.7,6.61,562,,2
2/24/2000 12:00,9277.5,0.333,16034,185.1,0.382,0.05,11.29,2,39.8,46.5,6.21,557,,2
2/24/2000 20:00,9277.83,0.333,16146,151.5,0.356,0.056,10.62,1.83,37.1,45.9,6.66,536,,2
2/25/2000 04:00,9278.17,0.333,16314,177.9,0.39,0.081,10.53,2,35.9,45.9,6.79,520,,2
2/25/2000 12:00,9278.5,0.333,17114,195.5,0.449,0.059,10.92,2.19,37.3,45.8,6.91,541,,2
2/25/2000 20:00,9278.83,0.333,17056,232.8,0.508,0.063,11.18,2.34,36.1,46.7,7.33,539,,2
2/26/2000 04:00,9279.17,0.333,16258,206.8,0.518,0.052,11.02,2.31,35.3,46.5,7.45,541,,2
2/26/2000 12:00,9279.5,0.333,14397,190.7,0.47,0.059,11.13,2.12,36.4,48.5,7.43,557,,2
2/26/2000 20:00,9279.83,0.333,12788,174.8,0.427,0.05,10.85,2.31,37.8,50.9,7.48,566,,2
2/27/2000 04:00,9280.17,0.333,11698,195.7,0.397,0.056,10.65,2.01,37.3,51.8,7.47,564,,2
2/27/2000 12:00,9280.5,0.333,11410,176.6,0.401,0.055,10.36,2.21,37.6,52.1,7.49,570,,2
2/27/2000 20:00,9280.83,0.333,12086,180.4,0.393,0.051,10.35,2.04,38,52.8,7.62,577,,2
2/28/2000 04:00,9281.17,0.333,11988,153.1,0.391,0.058,10.46,2.02,37.8,53.3,7.53,580,,2
2/28/2000 12:00,9281.5,0.333,11939,155.1,0.375,0.027,11.01,1.6,39.6,55,8.3,574,,2
2/28/2000 20:00,9281.83,0.333,10792,128,0.362,0.042,10.96,1.49,42.5,59.1,8.39,579,,2
2/29/2000 04:00,9282.17,0.333,10516,127.7,0.336,0.039,11.08,1.59,40.7,56.5,8.33,581,,2
2/29/2000 12:00,9282.5,0.333,10240,138.3,0.33,0.037,10.32,1.34,42.3,60,8.37,585,,2
2/29/2000 20:00,9282.83,0.333,8322.8,129,0.318,0.038,10.55,1.31,43.3,62.4,8.45,594,,2
3/1/2000 04:00,9283.17,0.333,6931,97.6,0.28,0.038,10.42,1.39,42.2,63.3,8.37,604,,3
3/1/2000 12:00,9283.5,0.667,6369.1,130.6,0.309,0.042,10.46,1.06,45.1,64.4,8.39,609,,3
3/2/2000 12:00,9284.5,2,4786.5,78.2,0.259,0.041,10.53,0.92,52.2,67.6,8.61,634,,3
3/5/2000 12:00,9287.5,1.833,4072.4,46.9,0.201,0.041,10.15,0.68,52.3,75.9,8.07,666,,3
3/6/2000 04:00,9288.17,0.5,3551.8,45.1,0.189,0.039,10.15,0.69,52,75.2,8.42,664,,3
3/6/2000 12:00,9288.5,1.667,1528.2,42.7,0.174,0.025,9.78,1.27,50.7,73.2,7.16,670,,3
3/9/2000 12:00,9291.5,2,1341.8,105,0.212,0.019,9.64,1.47,54.5,81,6.86,710,,3
3/10/2000 12:00,9292.5,1.5,1133.8,30.2,0.134,0.022,9.39,1.16,54.8,82.6,6.95,725,,3
3/12/2000 12:00,9294.5,1.5,1465.5,26.6,0.117,0.02,9.16,1.14,56.6,85.4,6.49,725,,3
3/13/2000 12:00,9295.5,1,1207.4,104,0.194,0.002,9.02,1.45,59.3,91.4,6.97,735,,3
3/14/2000 12:00,9296.5,1,1045.8,36.3,0.121,0.001,8.47,1.12,62,96.4,5.93,754,,3
3/15/2000 12:00,9297.5,1,1226.6,78.6,0.154,0.005,7.89,1.5,63.3,96.3,4.52,757,,3
3/16/2000 12:00,9298.5,1,1188.2,81.8,0.149,0.002,7.37,1.47,61.7,105.1,3.27,783,,3
3/17/2000 12:00,9299.5,1,2086.6,38.3,0.115,0.002,7.73,1.34,62.7,99.3,3.88,768,,3
3/18/2000 12:00,9300.5,1,2215.6,29.2,0.101,0.001,7.76,1.24,63.9,98.9,3.67,761,,3
3/19/2000 12:00,9301.5,0.833,2430,44.6,0.108,0.001,7.59,1.27,64.4,99.5,2.83,756,,3
3/20/2000 04:00,9302.17,0.5,1986.8,36,0.103,0.002,7.36,1.29,66.5,101.9,2.53,771,,3
3/20/2000 12:00,9302.5,0.333,1914.5,63.9,0.148,0.003,8.32,1.41,67.8,102.7,2.09,758,,3
3/20/2000 20:00,9302.83,0.333,4283.8,96.9,0.205,0.003,11.09,1.57,60.7,89.8,4.22,729,,3
3/21/2000 04:00,9303.17,0.333,7872,169.9,0.27,0.004,13.13,1.66,54.2,82.6,5.31,710,,3
3/21/2000 12:00,9303.5,0.333,9965.4,201.9,0.337,0.005,13.36,1.99,49.4,76.1,5.5,678,,3
3/21/2000 20:00,9303.83,0.5,11218,179.2,0.319,0.004,12.95,1.74,48.9,77,5.32,680,,3
3/22/2000 12:00,9304.5,0.5,12686,169.8,0.293,0.006,10.77,1.6,66.8,90.5,5.15,751,,3
3/22/2000 20:00,9304.83,0.333,11842,202.8,0.331,0.013,9.91,1.77,64.1,85.9,4.8,716,,3
3/23/2000 04:00,9305.17,0.333,10700,188.1,0.308,0.022,10.6,1.55,63.2,87.1,5.08,716,,3
3/23/2000 12:00,9305.5,0.667,9965.4,168.6,0.285,0.02,11.3,1.8,61,86.1,5.75,710,,3
3/24/2000 12:00,9306.5,1,7045,116.7,0.246,0.016,11.77,1.54,59.6,77.8,5.95,692,,3
3/25/2000 12:00,9307.5,1,5935.9,116.1,0.23,0.033,11.69,1.43,58.8,81.3,6.57,701,,3
3/26/2000 12:00,9308.5,0.833,4470,97.7,0.208,0.021,11.59,1.38,56.5,83.7,5.5,706,,3
3/27/2000 04:00,9309.17,0.5,3222.2,85.4,0.188,0.029,12.05,1.11,58.1,85.2,5.61,704,,3
3/27/2000 12:00,9309.5,0.667,3357.7,53.5,0.15,0.029,10.33,1.12,54.5,82,6.08,704,,3
3/28/2000 12:00,9310.5,1,4193.2,58.6,0.16,0.027,11.03,1.21,51,82.6,5.83,708,,3
3/29/2000 12:00,9311.5,1,4754.4,70.8,0.171,0.037,11.15,1.17,48.1,79.3,6.33,686,,3
3/30/2000 12:00,9312.5,1,5415.4,76.9,0.181,0.035,10.15,1.32,52.2,84.6,5.94,703,,3
3/31/2000 12:00,9313.5,1,3750.1,91.5,0.182,0.025,10.1,1.24,54.3,87.4,5.42,725,,3
4/1/2000 12:00,9314.5,1,3580,119.5,0.214,0.027,8.06,1.38,51.7,82.7,4.84,684,,4
4/2/2000 12:00,9315.5,0.833,2859,129.7,0.229,0.031,8.2,1.34,46,79.8,5.2,651,,4
4/3/2000 04:00,9316.17,0.5,2457.4,86.1,0.188,0.03,8.66,0.88,48.9,81.1,5.1,655,,4
4/3/2000 12:00,9316.5,0.667,2375.2,31.3,0.127,0.033,10.54,1.06,61.6,97.6,5.38,660,,4
4/4/2000 12:00,9317.5,1,2375.2,38.2,0.125,0.029,10.55,1.28,62.5,101.6,5.34,671,,4
4/5/2000 12:00,9318.5,1,1818.1,27.6,0.111,0.018,10.12,1.18,66.9,110.8,3.99,703,,4
4/6/2000 12:00,9319.5,1,2215.6,46.2,0.13,0.011,8.74,1.31,72.4,117.5,2.97,723,,4
4/7/2000 12:00,9320.5,1,1322.6,108.1,0.199,0.012,8.02,1.74,71.4,118.3,1.78,721,,4
4/8/2000 12:00,9321.5,1,2164,81.9,0.165,0.01,7.19,1.49,66.8,118.3,1.46,712,,4
4/9/2000 12:00,9322.5,0.833,8364.6,91,0.213,0.02,10.34,1.52,57.1,94.7,4.49,668,,4
4/10/2000 04:00,9323.17,0.5,12086,111.3,0.228,0.012,9.33,1.72,63.7,109.4,2.92,713,,4
4/10/2000 12:00,9323.5,0.333,12890,91.1,0.173,0.005,8.42,1.17,58,99.8,2.88,786,,4
4/10/2000 20:00,9323.83,0.333,12788,150.7,0.268,0.005,9.74,1.66,48.4,79.2,5.01,683,,4
4/11/2000 04:00,9324.17,0.333,12086,202.4,0.383,0.006,9.12,1.91,31.4,54.5,5.7,547,,4
4/11/2000 12:00,9324.5,0.333,11362,208.9,0.413,0.007,8.9,2.03,29.1,47.9,6.15,503,,4
4/11/2000 20:00,9324.83,0.333,10240,224.2,0.43,0.016,8.71,1.93,26,45.8,6.6,492,,4
4/12/2000 04:00,9325.17,0.333,7752.3,144.7,0.392,0.009,9.19,1.38,27.9,46.7,6.89,499,,4
4/12/2000 12:00,9325.5,0.333,7356,160.7,0.415,0.01,8.89,1.84,27.1,45.2,6.75,505,,4
4/12/2000 20:00,9325.83,0.333,7200,193.6,0.447,0.009,9.52,1.92,29.1,46.9,6.75,513,,4
4/13/2000 04:00,9326.17,0.333,6665.9,172.6,0.41,0.006,9.03,1.85,28.8,48.6,6.71,524,,4
4/13/2000 12:00,9326.5,0.667,6043.2,170.4,0.408,0.028,9.21,2.01,29.5,50.1,6.91,533,,4
4/14/2000 12:00,9327.5,1,5046.6,116,0.319,0.008,8.74,1.79,35.6,57.6,6.17,588,,4
4/15/2000 12:00,9328.5,1,3664.6,230.9,0.392,0.006,9.16,1.9,36.3,63.1,6.35,610,,4
4/16/2000 12:00,9329.5,0.833,3075.3,225.8,0.372,0.006,9.57,1.79,34.4,60.4,6.51,606,,4
4/17/2000 04:00,9330.17,0.5,2512.2,182.7,0.315,0.006,9.37,1.36,37.7,63.1,6.03,620,,4
4/17/2000 12:00,9330.5,0.667,2347.8,218,0.331,0.004,9.05,1.37,37.1,61.7,6.04,616,,4
4/18/2000 12:00,9331.5,1,2596.2,122,0.29,0.046,8.26,1.46,33.8,56.1,6.3,581,,4
4/19/2000 12:00,9332.5,1,4042.2,97.5,0.268,0.06,8.03,1.46,33.3,56.3,6.13,583,,4
4/20/2000 12:00,9333.5,0.667,4980.2,144.9,0.317,0.05,7.94,1.59,33.7,57.8,6.27,593,,4
4/20/2000 20:00,9333.83,0.333,12839,907,1.039,0.059,7.13,3.67,25.9,39.7,6.26,-9,,4
4/21/2000 04:00,9334.17,0.333,29440,1001.2,1.182,0.064,7.2,4.72,21.2,32.6,6.58,436,,4
4/21/2000 12:00,9334.5,0.333,35959,879.6,1.131,0.087,7.21,4.22,17.2,27.9,6.75,398,,4
4/21/2000 20:00,9334.83,0.333,38261,636.8,0.883,0.074,6.31,2.97,14.9,25.3,6.37,367,,4
4/22/2000 04:00,9335.17,0.333,37763,779.4,1,0.065,5.79,3.6,11.6,21.3,6.74,333,,4
4/22/2000 12:00,9335.5,0.333,34114,679.7,0.955,0.078,5.94,3.35,11.9,22.5,7,348,,4
4/22/2000 20:00,9335.83,0.333,31397,405.3,0.651,0.058,6.77,2.31,14.4,25.6,7.55,376,,4
4/23/2000 04:00,9336.17,0.333,26900,523.7,0.744,0.065,6.97,2.69,15.5,27.2,7.71,401,,4
4/23/2000 12:00,9336.5,0.333,23262,427,0.663,0.064,7.05,2.37,17.6,31,7.9,433,,4
4/23/2000 20:00,9336.83,0.333,20054,512.1,0.732,0.056,7.22,2.6,18,33.3,7.9,460,,4
4/24/2000 04:00,9337.17,0.333,16824,422.5,0.628,0.057,7.7,2.4,19.5,35.5,8.16,483,,4
4/24/2000 12:00,9337.5,0.333,15035,207.1,0.404,0.046,8.61,1.91,22.9,40,8.06,492,,4
4/24/2000 20:00,9337.83,0.333,13504,152.3,0.353,0.054,8.95,1.17,22.7,42.3,8.04,507,,4
4/25/2000 04:00,9338.17,0.333,12282,116,0.306,0.056,9.27,1.82,24.9,43.9,8.27,518,,4
4/25/2000 12:00,9338.5,0.667,10884,120.2,0.301,0.066,9.42,1.67,25.8,45.3,8.16,529,,4
4/26/2000 12:00,9339.5,1,8035.6,75.7,0.228,0.065,9.75,1.44,28,48.9,8.19,555,,4
4/27/2000 12:00,9340.5,1,5830.6,63,0.202,0.062,9.42,1.35,28.4,51.3,8,570,,4
4/28/2000 12:00,9341.5,1,5517.7,52.8,0.174,0.058,8.79,0.94,28.7,53.5,7.78,581,,4
4/29/2000 12:00,9342.5,1,3837.4,50,0.159,0.045,8.39,1.17,28.8,55.2,7.56,595,,4
4/30/2000 12:00,9343.5,0.833,3276.4,44.9,0.142,0.044,7.97,1.2,31,59.3,7.46,606,,4
5/1/2000 04:00,9344.17,0.5,2889.9,36.3,0.131,0.04,7.93,-9,30.6,60.6,7.18,611,,5
5/1/2000 12:00,9344.5,0.667,2859,35.5,0.13,0.036,8.39,1.15,33.1,65.7,8.06,615,,5
5/2/2000 12:00,9345.5,1,4223.4,41.1,0.153,0.001,8.87,1.33,32.5,62.8,-9,614,,5
5/3/2000 12:00,9346.5,1,5079.8,44.1,0.15,0.043,8.78,1.29,31.5,62.6,7.6,621,,5
5/4/2000 12:00,9347.5,1,4438.8,35.7,0.125,0.034,8.91,1.15,31.1,63.3,7.8,631,,5
5/5/2000 12:00,9348.5,1,3168,28.3,0.116,0.027,8.53,1.2,33.3,67.9,7.08,639,,5
5/6/2000 12:00,9349.5,1,2567,59,0.136,0.01,7.07,1.44,34,69.9,5.31,645,,5
