River,Year,NOS,FIELD_SET,Discharge,SS,TP,DRP,NIT,TKN,CHL,TN,PTN,TPP,PP
Blanchard,2008,583,Loads,483,68400,240,64.5,1800,734,13300,2534,0.710339384,,175.5
Blanchard,2009,517,Loads,238,42900,110,19.1,1210,553,8140,1763,0.686330119,,90.9
Blanchard,2010,501,Loads,178,17900,67.5,19.9,1180,274,7970,1454,0.811554333,,47.6
Blanchard,2011,535,Loads,431,74400,216,51.1,1600,734,12100,2334,0.685518423,,164.9
Blanchard,2012,525,Loads,366.9953844,30300,154,61.4,918,477,8930,1395,0.658064516,,92.6
Blanchard,2013,564,Loads,348,50000,173,47.9,1780,587,10600,2367,0.75200676,,125.1
Blanchard,2014,537,Loads,314,34400,130,43.3,1300,420,12500,1720,0.755813953,,86.7
Blanchard,2015,511,Loads,274,19300,97.2,37.5,1380,374,9970,1754,0.78677309,,59.7
Blanchard,2016,,Loads,223,,81.3,25.7,,,,,,,
Blanchard,2008,583,Unit area loads,53.89782846,763.2735956,2.678152967,0.71975361,20.08614725,8.190684491,148.4143103,28.27683175,,,1.958399357
Blanchard,2009,517,Unit area loads,26.55835026,478.7198429,1.227486777,0.21313634,13.50235454,6.170910795,90.83402147,19.67326534,,,1.014350436
Blanchard,2010,501,Unit area loads,19.86296784,199.7455755,0.753230522,0.222063517,13.16758542,3.057557971,88.93699645,16.22514339,,,0.531167005
Blanchard,2011,535,Unit area loads,48.0951637,830.2274198,2.41033767,0.570223403,17.85435311,8.190684491,135.0235454,26.04503761,,,1.840114268
Blanchard,2012,525,Unit area loads,40.9529074,338.1168121,1.718481487,0.685160801,10.2439351,5.322829022,99.64960832,15.56676412,,,1.033320686
Blanchard,2013,564,Unit area loads,38.83321802,557.9485348,1.930501931,0.534514696,19.86296784,6.550315799,118.2850894,26.41328364,,,1.395987234
Blanchard,2014,537,Unit area loads,35.03916799,383.868592,1.450666191,0.483183431,14.50666191,4.686767693,139.4871337,19.1934296,,,0.967482759
Blanchard,2015,511,Unit area loads,30.57557971,215.3681344,1.084651952,0.418461401,15.39937956,4.173455041,111.2549378,19.5728346,,,0.666190551
Blanchard,2016,,Unit area loads,24.88450465,,0.907224318,0.286785547,,,,,,,
Blanchard,2008,583,Flow weighted mean concentrations,,141.6149068,0.49689441,0.133540373,3.726708075,1.519668737,27.53623188,5.246376812,,,0.363354037
Blanchard,2009,517,Flow weighted mean concentrations,,180.2521008,0.462184874,0.080252101,5.084033613,2.323529412,34.20168067,7.407563025,,,0.381932773
Blanchard,2010,501,Flow weighted mean concentrations,,100.5617978,0.379213483,0.111797753,6.629213483,1.539325843,44.7752809,8.168539326,,,0.26741573
Blanchard,2011,535,Flow weighted mean concentrations,,172.6218097,0.501160093,0.118561485,3.712296984,1.703016241,28.07424594,5.415313225,,,0.382598608
