River,Year,NOS,FIELD_SET,Discharge,SS,TP,DRP,NIT,TKN,CHL,TN,PTN,TPP,PP
Raisin,2008,525,Loads,6886.44,1370000,2880,428,42700,11600,168000,54300,0.786372007,2452,
Raisin,2009,518,Loads,6531.34,1160000,2930,508,30000,9900,134000,39900,0.751879699,2422,
Raisin,2010,449,Loads,4080.14,519000,1270,215,25800,6200,120000,32000,0.80625,1055,
Raisin,2011,467,Loads,3351.87,618000,1190,202,27000,5700,118000,32700,0.825688073,988,
Raisin,2012,418,Loads,3770.37,337000,940,260,26300,5400,146000,31700,0.829652997,680,
Raisin,2013,487,Loads,5957.07,987000,2100,442,33100,10600,165000,43700,0.757437071,1658,
Raisin,2014,482,Loads,5764.22,972000,2240,576,40400,10200,164000,50600,0.798418972,1664,
Raisin,2015,420,Loads,5439.44,705000,1810,494,27800,8600,168000,36400,0.763736264,1316,
Maumee,2008,570,Loads,8026,1366000,3560,835,30700,12300,181000,43000,0.713953488,2725,
Maumee,2009,523,Loads,5075,929000,2160,346,22700,10400,115000,33100,0.685800604,1814,
Maumee,2010,542,Loads,4648,573000,1530,404,25100,9560,133000,34660,0.724177726,1126,
Maumee,2011,486,Loads,6230,1154000,2780,570,31400,11400,152000,42800,0.73364486,2210,
Maumee,2012,506,Loads,5960,770000,2230,614,18200,8330,121000,26530,0.686015831,1616,
Maumee,2013,567,Loads,5030,857000,2130,468,31500,8970,146000,40500,0.777777778,1662,
Maumee,2014,499,Loads,5850,650000,1960,577,25900,8550,177000,35500,0.729577465,1383,
Maumee,2015,523,Loads,6650,685000,2200,752,29600,10600,176000,35501,0.83377933,1448,
Portage,2008,418,Loads,3770.37,337000,940,260,26300,5400,146000,31700,0.829652997,680,
Portage,2009,487,Loads,5957.07,987000,2100,442,33100,10600,165000,43700,0.757437071,1658,
Portage,2010,482,Loads,5764.22,972000,2240,576,40400,10200,164000,50600,0.798418972,1664,
Portage,2011,420,Loads,5439.44,705000,1810,494,27800,8600,168000,36400,0.763736264,1316,
Portage,2012,570,Loads,8026,1366000,3560,835,30700,12300,181000,43000,0.713953488,2725,
Portage,2013,523,Loads,5075,929000,2160,346,22700,10400,115000,33100,0.685800604,1814,
Portage,2014,542,Loads,4648,573000,1530,404,25100,9560,133000,34660,0.724177726,1126,
Portage,2015,486,Loads,6230,1154000,2780,570,31400,11400,152000,42800,0.73364486,2210,
Raisin,2008,,Unit Area Loads,42.00329369,835.620616,1.75663312,0.2610552,26.04452577,7.075327844,102.4702653,33.11985361,,1.49557792,
Raisin,2009,,Unit Area Loads,39.83738945,707.5327844,1.787130223,0.309850564,18.29826167,6.038426349,81.73223544,24.33668801,,1.477279658,
Raisin,2010,,Unit Area Loads,24.88648978,316.5599268,0.77462641,0.131137542,15.73650503,3.781640744,73.19304666,19.51814578,,0.643488869,
Raisin,2011,,Unit Area Loads,20.44446478,376.9441903,0.725831046,0.123208295,16.4684355,3.476669716,71.97316255,19.94510522,,0.602622751,
Raisin,2012,,Unit Area Loads,22.99707228,205.5504727,0.573345532,0.158584934,16.04147606,3.2936871,89.0515401,19.33516316,,0.414760598,
Raisin,2013,,Unit Area Loads,36.33467521,602.0128088,1.280878317,0.269594389,20.18908204,6.465385788,100.6404392,26.65446783,,1.011283928,
Raisin,2014,,Unit Area Loads,35.15840195,592.863678,1.366270204,0.351326624,24.64165904,6.221408966,100.0304971,30.86306801,,1.01494358,
Raisin,2015,,Unit Area Loads,33.17743214,430.0091491,1.10399512,0.301311375,16.95638914,5.215004575,102.4702653,22.20189082,,0.802683745,
Maumee,2008,,Unit Area Loads,48.95394937,833.1808478,2.171393718,0.509301616,18.7252211,7.502287283,110.399512,26.22750839,,1.662092101,
Maumee,2009,,Unit Area Loads,30.95455932,566.6361696,1.31747484,0.211039951,13.84568466,6.343397377,70.14333638,20.18908204,,1.106434889,
Maumee,2010,,Unit Area Loads,28.35010674,349.4967978,0.933211345,0.24641659,15.30954559,5.831046051,81.12229338,21.14059164,,0.686794754,
Maumee,2011,,Unit Area Loads,37.99939006,703.8731321,1.695638914,0.347666972,19.15218054,6.953339433,92.71119244,26.10551998,,1.347971943,
Maumee,2012,,Unit Area Loads,36.35254651,469.6553827,1.360170784,0.374504422,11.10094541,5.080817322,73.80298872,16.18176273,,0.985666362,
Maumee,2013,,Unit Area Loads,30.68008539,522.7203416,1.299176578,0.285452882,19.21317475,5.471180238,89.0515401,24.70265325,,1.013723696,
Maumee,2014,,Unit Area Loads,35.68161025,396.4623361,1.195486429,0.351936566,15.79749924,5.215004575,107.9597438,21.65294297,,0.843549863,
Maumee,2015,,Unit Area Loads,40.56114669,417.810308,1.341872522,0.458676426,18.05428484,6.465385788,107.3498018,21.65355291,,0.883196096,
Portage,2008,,Unit Area Loads,22.99707228,205.5504727,0.573345532,0.158584934,16.04147606,3.2936871,89.0515401,19.33516316,,0.414760598,
Portage,2009,,Unit Area Loads,36.33467521,602.0128088,1.280878317,0.269594389,20.18908204,6.465385788,100.6404392,26.65446783,,1.011283928,
Portage,2010,,Unit Area Loads,35.15840195,592.863678,1.366270204,0.351326624,24.64165904,6.221408966,100.0304971,30.86306801,,1.01494358,
Portage,2011,,Unit Area Loads,33.17743214,430.0091491,1.10399512,0.301311375,16.95638914,5.215004575,102.4702653,22.20189082,,0.802683745,
Portage,2012,,Unit Area Loads,48.95394937,833.1808478,2.171393718,0.509301616,18.7252211,7.502287283,110.399512,26.22750839,,1.662092101,
Portage,2013,,Unit Area Loads,30.95455932,566.6361696,1.31747484,0.211039951,13.84568466,6.343397377,70.14333638,20.18908204,,1.106434889,
Portage,2014,,Unit Area Loads,28.35010674,349.4967978,0.933211345,0.24641659,15.30954559,5.831046051,81.12229338,21.14059164,,0.686794754,
Portage,2015,,Unit Area Loads,37.99939006,703.8731321,1.695638914,0.347666972,19.15218054,6.953339433,92.71119244,26.10551998,,1.347971943,
Raisin,2008,,Flow-weighted mean concentrations,,198.9416883,0.418213184,0.062151126,6.200591307,1.68446977,24.39576908,7.885061077,,,0.356062058
